Начало игровой сессии
02:28:47 - SpeedU:0, ArmorU:0, DamageU:0, ArmorP:3, Draft:0, Growth:0
02:30:01 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:01 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:01 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:01 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:10 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:10 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:10 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:10 - Список очищен, tag: Enemy1, Точек в списке: 0
02:30:10 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:10 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:11 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:11 - Корутина по очистке запущена, tag: Enemy3, Точек в списке: 0
02:30:11 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:11 - Корутина по очистке запущена, tag: Enemy3, Точек в списке: 0
02:30:11 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:11 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:11 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:11 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:11 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:11 - Список очищен, tag: Enemy1, Точек в списке: 0
02:30:11 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:11 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:12 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:12 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:12 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:12 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:12 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:12 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:12 - Список очищен, tag: Enemy1, Точек в списке: 0
02:30:12 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:12 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:13 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:13 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:13 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:13 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:13 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:13 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:13 - Список очищен, tag: Enemy1, Точек в списке: 0
02:30:13 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:13 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:14 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:14 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:14 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:14 - Корутина по очистке запущена, tag: Enemy2, Точек в списке: 0
02:30:14 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:14 - Корутина по очистке запущена, tag: Enemy2, Точек в списке: 0
02:30:14 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:14 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:14 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:14 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:14 - Список очищен, tag: Enemy1, Точек в списке: 0
02:30:14 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:14 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:15 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:18 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:18 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:19 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:19 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:19 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:19 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:19 - Список очищен, tag: Enemy1, Точек в списке: 0
02:30:19 - Список очищен, tag: Enemy2, Точек в списке: 0
02:30:19 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:19 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:19 - Список очищен, tag: Enemy3, Точек в списке: 0
02:30:19 - Список очищен, tag: PlayerPlanet, Точек в списке: 0
02:30:20 - Список очищен, tag: Enemy2, Точек в списке: 0
